indicx,no_cidade
"52.68","Dores do Rio Preto"
"56.08","Cidade Ocidental"
"57.14","Ferros"
"59.77","Itapiúna"
"69.49","Barra Longa"
"94.59","Arantina"
"62.83","Palmares do Sul"
"43.42","Novo Acordo"
"51.85","Gado Bravo"
"42.78","Nova Laranjeiras"
"48.89","Itapissuma"
"58.44","Pimenta Bueno"
"60.86","Irati"
"82.17","Rio das Pedras"
"68.42","Itapecerica da Serra"
"74.19","Cajazeirinhas"
"55.00","Natalândia"
"45.97","Frei Gaspar"
"77.88","Mondaí"
"74.07","Sentinela do Sul"
"28.72","Neópolis"
"78.06","Astolfo Dutra"
"68.36","Uruaçu"
"89.47","Poço das Antas"
"14.78","Maracaçumé"
"62.82","Lajes Pintadas"
"76.41","Betim"
"77.77","Barracão"
"46.15","Água Comprida"
"27.50","Firmino Alves"
"87.50","Bom Jesus do Oeste"
"29.26","Cocal dos Alves"
"75.40","Espírito Santo do Turvo"
"78.24","Caculé"
"14.85","Cachoeira do Piriá"
"89.47","Pouso Novo"
"80.53","Aparecida de Goiânia"
"67.14","Inhuma"
"67.45","Silvânia"
"70.70","Lontra"
"40.00","Taquaral de Goiás"
"94.24","Nova Esperança"
"85.71","Tupanci do Sul"
"65.66","Júlio de Castilhos"
"87.50","Várzea Alegre"
"43.63","Picos"
"39.38","São Paulo do Potengi"
"46.95","Ladário"
"69.22","Capão da Canoa"
"70.83","Floreal"
"28.88","Minas Novas"
"51.16","Matos Costa"
"15.55","Paraú"
"24.29","Capanema"
"71.62","Tejupá"
"35.17","Condeúba"
"74.35","Jacinto"
"85.64","Rubiataba"
"30.25","Pacatuba"
"56.78","Baianópolis"
"76.47","Montividiu do Norte"
"62.66","São Felipe D'Oeste"
"16.21","Várzea"
"20.07","Curuçá"
"54.16","Tacima"
"22.85","Matões do Norte"
"70.00","Diamante do Sul"
"83.72","Ciríaco"
"84.42","Brotas"
"78.64","Pouso Alegre"
"50.69","Bom Jesus"
"71.73","Divinésia"
"19.13","Lima Campos"
"31.44","Igreja Nova"
"76.83","Novo Hamburgo"
"65.55","Moema"
"35.21","Ponte Alta do Bom Jesus"
"80.76","Emilianópolis"
"70.40","Teresópolis"
"28.66","Arari"
"52.43","Caém"
"80.00","Cedro do Abaeté"
"71.12","Venturosa"
"86.20","Quadra"
"69.54","Porecatu"
"63.39","Moraújo"
"79.04","Araputanga"
"81.69","Paraí"
"79.87","Manga"
"18.22","Teolândia"
"21.00","Água Branca"
"38.94","São Roberto"
"86.60","São Lourenço do Oeste"
"61.79","Água Doce"
"62.04","Alvorada"
"70.96","Boa Vista das Missões"
"68.08","São Domingos do Cariri"
"77.61","São José do Ouro"
"87.80","Cruzeiro do Sul"
"63.34","Butiá"
"72.87","Janaúba"
"37.34","Domingos Mourão"
"33.27","Itabela"
"81.77","Tamarana"
"74.93","Nerópolis"
"81.69","Bernardino de Campos"
"74.35","Paulista"
"57.33","Mogeiro"
"39.54","Afogados da Ingazeira"
"35.14","Serra Talhada"
"49.81","Umirim"
"58.20","Santa Rosa do Tocantins"
"20.07","Irituia"
"33.80","Júlio Borges"
"54.54","Patrocínio Paulista"
"78.04","Aratuba"
"68.40","Garuva"
"23.85","Avelino Lopes"
"70.00","Carvalhópolis"
"57.49","Paranaguá"
"75.20","Nova Xavantina"
"40.00","Dias d'Ávila"
"81.69","Pato Branco"
"79.85","Feliz"
"72.81","Pinhão"
"59.60","Itaobim"
"62.50","Ouro Verde de Goiás"
"91.46","Porto dos Gaúchos"
"83.03","Taquarituba"
"93.35","Andirá"
"43.82","Cacimbas"
"56.86","Avanhandava"
"22.22","Elesbão Veloso"
"95.91","Ourizona"
"31.34","Bento Fernandes"
"18.60","Trairão"
"33.33","Nova Iorque"
"48.08","Presidente Médici"
"80.85","Mangueirinha"
"61.54","Itapetinga"
"54.71","Arara"
"62.50","Bonópolis"
"29.50","Sapeaçu"
"72.13","Uiraúna"
"90.14","Quarto Centenário"
"15.83","Ipanguaçu"
"10.95","Pracuúba"
"26.85","São Felipe"
"57.53","Cordisburgo"
"33.33","Gramado dos Loureiros"
"81.42","Arandu"
